Protokoll_Display,Prozent_ETH (L2),Prozent_IP (L3),Prozent_Transport (L4),Prozent_L5_L7,Gesamt_Overhead_Hinweg
tcp,21.04,30.05,48.91,0.00,976.00
mqtt_qos1,20.23,28.91,46.99,3.87,1084.00
mqtt_qos2,20.20,28.86,46.88,4.06,1132.00
mqtt_qos,20.37,29.10,47.23,3.29,1214.00
http,12.71,18.15,29.62,39.52,2791.00
coap,21.23,30.34,0.00,48.43,12988.00
