Dateiname,Protokoll,Format,QoS,PayloadGroesse,Run,Paketanzahl_Hinweg,Paketanzahl_Datenpakete,GesamtBytes_Hinweg,HeaderBytes_ETH,HeaderBytes_IP,HeaderBytes_Transport
kke_mqtt_json_100000B_qos0_run3,mqtt,json,0,100000,run3,18,14,101236,252,360,584
kke_mqtt_json_100000B_qos1_run1,mqtt,json,1,100000,run1,15,11,101040,210,300,488
kke_mqtt_json_100000B_qos1_run2,mqtt,json,1,100000,run2,16,11,101106,224,320,520
kke_mqtt_json_100000B_qos1_run3,mqtt,json,1,100000,run3,16,11,101106,224,320,520
kke_mqtt_json_100000B_qos2_run1,mqtt,json,2,100000,run1,16,12,101110,224,320,520
kke_mqtt_json_100000B_qos2_run2,mqtt,json,2,100000,run2,17,13,101176,238,340,552
kke_mqtt_json_100000B_qos2_run3,mqtt,json,2,100000,run3,16,12,101110,224,320,520
kke_mqtt_json_10000B_qos0_run1,mqtt,json,0,10000,run1,9,4,10641,126,180,296
kke_mqtt_json_10000B_qos0_run2,mqtt,json,0,10000,run2,9,4,10641,126,180,296
kke_mqtt_json_10000B_qos0_run3,mqtt,json,0,10000,run3,8,4,10575,112,160,264
kke_mqtt_json_10000B_qos1_run1,mqtt,json,1,10000,run1,8,4,10577,112,160,264
kke_mqtt_json_10000B_qos1_run2,mqtt,json,1,10000,run2,8,4,10577,112,160,264
kke_mqtt_json_10000B_qos1_run3,mqtt,json,1,10000,run3,8,4,10577,112,160,264
kke_mqtt_json_10000B_qos2_run1,mqtt,json,2,10000,run1,9,5,10647,126,180,296
kke_mqtt_json_10000B_qos2_run2,mqtt,json,2,10000,run2,9,5,10647,126,180,296
kke_mqtt_json_10000B_qos2_run3,mqtt,json,2,10000,run3,9,5,10647,126,180,296
kke_mqtt_json_1000B_qos0_run1,mqtt,json,0,1000,run1,7,3,1509,98,140,232
kke_mqtt_json_1000B_qos0_run2,mqtt,json,0,1000,run2,8,3,1575,112,160,264
kke_mqtt_json_1000B_qos0_run3,mqtt,json,0,1000,run3,8,3,1575,112,160,264
kke_mqtt_json_1000B_qos1_run1,mqtt,json,1,1000,run1,7,3,1511,98,140,232
kke_mqtt_json_1000B_qos1_run2,mqtt,json,1,1000,run2,7,3,1511,98,140,232
kke_mqtt_json_1000B_qos1_run3,mqtt,json,1,1000,run3,7,3,1511,98,140,232
kke_mqtt_json_1000B_qos2_run1,mqtt,json,2,1000,run1,9,4,1647,126,180,296
kke_mqtt_json_1000B_qos2_run2,mqtt,json,2,1000,run2,8,4,1581,112,160,264
kke_mqtt_json_1000B_qos2_run3,mqtt,json,2,1000,run3,8,4,1581,112,160,264
kke_mqtt_json_100B_qos0_run1,mqtt,json,0,100,run1,7,3,608,98,140,232
kke_mqtt_json_100B_qos0_run2,mqtt,json,0,100,run2,7,3,608,98,140,232
kke_mqtt_json_100B_qos0_run3,mqtt,json,0,100,run3,7,3,608,98,140,232
kke_mqtt_json_100B_qos1_run1,mqtt,json,1,100,run1,7,3,610,98,140,232
kke_mqtt_json_100B_qos1_run2,mqtt,json,1,100,run2,7,3,610,98,140,232
kke_mqtt_json_100B_qos1_run3,mqtt,json,1,100,run3,7,3,610,98,140,232
kke_mqtt_json_100B_qos2_run1,mqtt,json,2,100,run1,8,4,680,112,160,264
kke_mqtt_json_100B_qos2_run2,mqtt,json,2,100,run2,8,4,680,112,160,264
kke_mqtt_json_100B_qos2_run3,mqtt,json,2,100,run3,8,4,680,112,160,264
kke_tcp_json_10000000B_run1,tcp,json,N/A,10000000,run1,456,451,10030576,6384,9120,14600
kke_tcp_json_10000000B_run2,tcp,json,N/A,10000000,run2,500,496,10033008,7000,10000,16008
kke_tcp_json_10000000B_run3,tcp,json,N/A,10000000,run3,1088,1084,10071816,15232,21760,34824
kke_tcp_json_1000000B_run1,tcp,json,N/A,1000000,run1,64,60,1004232,896,1280,2056
kke_tcp_json_1000000B_run2,tcp,json,N/A,1000000,run2,50,45,1003308,700,1000,1608
kke_tcp_json_1000000B_run3,tcp,json,N/A,1000000,run3,58,54,1003836,812,1160,1864
kke_tcp_json_100000B_run1,tcp,json,N/A,100000,run1,16,12,101064,224,320,520
kke_tcp_json_100000B_run2,tcp,json,N/A,100000,run2,14,10,100932,196,280,456
kke_tcp_json_100000B_run3,tcp,json,N/A,100000,run3,14,10,100932,196,280,456
kke_tcp_json_10000B_run1,tcp,json,N/A,10000,run1,7,2,10470,98,140,232
kke_tcp_json_10000B_run2,tcp,json,N/A,10000,run2,7,2,10470,98,140,232
kke_tcp_json_10000B_run3,tcp,json,N/A,10000,run3,7,2,10470,98,140,232
kke_tcp_json_1000B_run1,tcp,json,N/A,1000,run1,6,1,1404,84,120,200
kke_tcp_json_1000B_run2,tcp,json,N/A,1000,run2,6,1,1404,84,120,200
kke_tcp_json_1000B_run3,tcp,json,N/A,1000,run3,6,1,1404,84,120,200
kke_tcp_json_100B_run1,tcp,json,N/A,100,run1,6,1,504,84,120,200
kke_tcp_json_100B_run2,tcp,json,N/A,100,run2,6,1,504,84,120,200
kke_tcp_json_100B_run3,tcp,json,N/A,100,run3,6,1,504,84,120,200
kke_udp_json_10000B_run1,udp,json,N/A,10000,run1,7,1,10246,98,140,0
kke_udp_json_10000B_run2,udp,json,N/A,10000,run2,7,1,10246,98,140,0
kke_udp_json_10000B_run3,udp,json,N/A,10000,run3,7,1,10246,98,140,0
kke_udp_json_1000B_run1,udp,json,N/A,1000,run1,1,1,1042,14,20,0
kke_udp_json_1000B_run2,udp,json,N/A,1000,run2,1,1,1042,14,20,0
kke_udp_json_1000B_run3,udp,json,N/A,1000,run3,1,1,1042,14,20,0
kke_udp_json_100B_run1,udp,json,N/A,100,run1,1,1,142,14,20,0
kke_udp_json_100B_run2,udp,json,N/A,100,run2,1,1,142,14,20,0
kke_udp_json_100B_run3,udp,json,N/A,100,run3,1,1,142,14,20,0
