Protokoll,Format,PayloadGroesse,Run,Serialization_ns,Deserialization_ns,RTT_Anwendung_ns
coap,xml,10000,run2,27086692,31098086,290761841
coap,xml,10000,run3,27502490,34105032,309604629
coap,xml,100000,run1,28715306,34928200,445255254
coap,xml,100000,run2,29960542,37569498,467846251
coap,xml,100000,run3,33294264,44177051,469849499
coap,xml,1000000,run1,41822149,52360696,1602844677
coap,xml,1000000,run2,36050547,52754713,1627670769
coap,xml,1000000,run3,37207552,47857134,1580896997
coap,xml,10000000,run1,68679529,116421827,12160768260
coap,xml,10000000,run2,69930610,130634853,12044186865
coap,xml,10000000,run3,68881819,105160621,12377917608
coap,messagepack,100,run1,24188927,32751450,275845192
coap,messagepack,100,run2,20913386,31789070,263703796
coap,messagepack,100,run3,23192626,29958751,259040427
coap,messagepack,1000,run1,22114549,26736422,240719177
coap,messagepack,1000,run2,21096196,29400442,248331542
coap,messagepack,1000,run3,21267994,31425041,240292157
coap,messagepack,10000,run1,25009928,25006403,253886412
coap,messagepack,10000,run2,23934315,27382955,289561166
coap,messagepack,10000,run3,24022725,29226908,328665901
coap,messagepack,100000,run1,21734414,24313020,402435100
coap,messagepack,100000,run2,21361038,39336016,513129243
coap,messagepack,100000,run3,22373452,41809486,487274362
coap,messagepack,1000000,run1,24232993,25623891,1625651449
coap,messagepack,1000000,run2,27265881,26524524,1651000637
coap,messagepack,1000000,run3,25371126,34378992,1790418338
coap,messagepack,10000000,run1,47337636,37374168,12296260361
coap,messagepack,10000000,run2,44177419,41401316,12420893440
coap,protobuf,100,run1,12298025,30854121,131210956
coap,protobuf,100,run2,31314367,28680318,139431507
coap,protobuf,100,run3,12777229,26483929,121555487
coap,protobuf,1000,run1,13494984,27595927,130711638
coap,protobuf,1000,run2,15032166,30431202,129194985
coap,protobuf,1000,run3,12913598,26595852,124583477
coap,protobuf,10000,run1,18340698,30792391,158769769
coap,protobuf,10000,run2,15830592,25352079,142301864
coap,protobuf,10000,run3,14247683,25294366,145383965
coap,protobuf,100000,run1,16941053,23579410,280893602
coap,protobuf,100000,run2,17396833,24718055,277793929
coap,protobuf,100000,run3,18406073,24370177,296185281
coap,protobuf,1000000,run1,27857687,30394455,1424913350
coap,protobuf,1000000,run2,26081354,28231236,1373511123
coap,protobuf,1000000,run3,25967408,31768044,1401120741
coap,protobuf,10000000,run1,32843947,41550570,11810322072
coap,protobuf,10000000,run2,31114108,42112455,11569258448
coap,protobuf,10000000,run3,31851746,42687368,11594387440
coap,cbor,100,run1,20616357,21940704,236274891
coap,cbor,100,run2,18664370,26161457,235201372
coap,cbor,100,run3,19801110,22314651,221896033
coap,cbor,1000,run1,21169224,24746232,226685995
coap,cbor,1000,run2,19073652,23204467,233170051
coap,cbor,1000,run3,19206333,23851549,231462147
coap,cbor,10000,run1,18630369,32701266,289499764
coap,cbor,10000,run2,19214691,24555447,259822205
coap,cbor,10000,run3,20152952,21053252,255663052
coap,cbor,100000,run1,20610418,34354623,415572530
coap,cbor,100000,run2,20991662,31275340,420013691
coap,cbor,100000,run3,21554660,26707717,420892878
coap,cbor,1000000,run1,29048960,32349032,1540720614
coap,cbor,1000000,run2,26383665,35532677,1526560789
coap,cbor,1000000,run3,27749410,32933658,1521706944
coap,cbor,10000000,run1,52771138,84112612,11738378798
coap,cbor,10000000,run2,51612547,68907915,11841735813
coap,cbor,10000000,run3,58637705,139662320,11824949876
mqtt,json,100,run1,24600838,21980990,3639394
mqtt,json,100,run2,21649379,22352614,5148322
mqtt,json,100,run3,21342470,25435573,3522268
mqtt,json,1000,run1,22143338,22098097,3440046
mqtt,json,1000,run2,21720831,22819003,4255296
mqtt,json,1000,run3,20242446,21548993,3962123
mqtt,json,10000,run1,22622332,20742466,4525805
mqtt,json,10000,run2,20816217,22238358,4072906
mqtt,json,10000,run3,21385184,21304811,3802706
mqtt,json,100000,run1,23695937,24988021,4013935
mqtt,json,100000,run2,22337229,27291288,5698725
mqtt,json,100000,run3,22901843,24550589,4325526
mqtt,json,1000000,run1,33164091,32003920,5097999
mqtt,json,1000000,run2,31438403,34260820,7418944
mqtt,json,1000000,run3,30753986,36255692,5954681
mqtt,json,10000000,run1,48351350,73694880,32160942
mqtt,json,10000000,run2,44030101,68962977,24302465
mqtt,json,10000000,run3,46312802,70794735,27868582
mqtt,xml,100,run1,24459570,34803087,5810425
mqtt,xml,100,run2,25616286,35211317,6517256
mqtt,xml,100,run3,24503626,36832021,5409025
mqtt,xml,1000,run1,25315790,35799207,3774470
mqtt,xml,1000,run2,27123043,35753020,3844108
mqtt,xml,1000,run3,29940611,36299285,4416359
mqtt,xml,10000,run1,27988787,37098113,5573625
mqtt,xml,10000,run2,28058034,36664224,3633461
mqtt,xml,10000,run3,24764633,34017762,6251883
mqtt,xml,100000,run1,28349796,38319112,6134274
mqtt,xml,100000,run2,28252097,42220841,4603246
mqtt,xml,100000,run3,29136903,40557927,4563012
mqtt,xml,1000000,run1,36595792,54196658,7299925
mqtt,xml,1000000,run2,33102998,53322068,9525576
mqtt,xml,1000000,run3,33354103,47320162,8341697
mqtt,xml,10000000,run1,67958125,112267939,32270617
mqtt,xml,10000000,run2,68124906,103582456,31513544
mqtt,xml,10000000,run3,71593777,97002662,34786102
mqtt,messagepack,100,run1,46453047,24263271,4054053
mqtt,messagepack,100,run2,42264726,23837248,4385237
mqtt,messagepack,100,run3,42079226,22902651,5400894
mqtt,messagepack,1000,run1,47041243,26508429,7089591
mqtt,messagepack,1000,run2,46447586,24773114,4337344
mqtt,messagepack,1000,run3,48236379,23259992,3868172
mqtt,messagepack,10000,run1,50163427,22171247,4799514
mqtt,messagepack,10000,run2,54106149,24617762,4179135
mqtt,messagepack,10000,run3,45103476,24104447,5919320
mqtt,messagepack,100000,run1,46330513,23149344,4315253
mqtt,messagepack,100000,run2,42499989,22804124,5000375
mqtt,messagepack,100000,run3,38952539,23739590,4435119
mqtt,messagepack,1000000,run1,55339088,23721462,5283165
mqtt,messagepack,1000000,run2,40309404,23971032,6795839
mqtt,messagepack,1000000,run3,46435966,24355018,8705285
mqtt,messagepack,10000000,run1,58848351,33262028,33990800
mqtt,messagepack,10000000,run2,66357067,32095318,32052570
mqtt,messagepack,10000000,run3,59644592,30592898,31181056
