Testfall,Datenformat,Groesse_Bytes,Serialisierungszeit_ns,Deserialisierungszeit_ns,CPU_Zeit_s,Status
"DataSeries (250k Punkte, 1k Läufe)",Avro,2000036,6060741,12050011,31.7656,Erfolgreich
"DataSeries (250k Punkte, 1k Läufe)",Protobuf,2000039,6388014,3949432,27.9531,Erfolgreich
"DataSeries (250k Punkte, 1k Läufe)",CSV,4656470,31269604,61831615,160.9844,Erfolgreich
"DataSeries (250k Punkte, 1k Läufe)",INI,4656541,49273407,71734104,200.4844,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",JSON,47902,106377,283092,0.8438,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",XML,111259,1056130,2316096,11.3906,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",MessagePack,47902,97059,200812,0.3750,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",CBOR,47902,105024,202734,0.3281,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",YAML,47902,98318,189846,0.4531,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",BSON,47902,111292,212312,0.3281,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",TOML,,,,Fehlerhaft
"Rekursiv (Tiefe 3, Breite 20)",Avro,14726,94041,386655,1.7031,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",Protobuf,19716,167423,163371,1.0625,Erfolgreich
"Rekursiv (Tiefe 3, Breite 20)",CSV,,,,Fehlerhaft
"Rekursiv (Tiefe 3, Breite 20)",INI,,,,Fehlerhaft
"Rekursiv (Tiefe 9, Breite 2)",JSON,57418,134900,334557,0.9375,Erfolgreich
"Rekursiv (Tiefe 9, Breite 2)",XML,119967,1138949,2482999,11.9219,Erfolgreich
"Rekursiv (Tiefe 9, Breite 2)",MessagePack,57418,132720,260163,0.5469,Erfolgreich
"Rekursiv (Tiefe 9, Breite 2)",CBOR,57418,127364,229727,0.3750,Erfolgreich
