Protokoll_Display,100,1000,10000,100000,1000000,10000000
coap,55.56,11.11,12.06,11.50,11.43,11.54
http,93.20,57.82,12.57,2.71,0.51,0.20
mqtt_qos0,83.55,35.58,5.83,1.20,0.30,2.79
mqtt_qos1,83.61,33.82,5.46,1.07,0.25,2.82
mqtt_qos2,85.29,37.59,6.08,1.12,0.26,4.20
tcp,80.16,28.77,4.49,0.97,0.38,0.45
udp,29.58,4.03,2.40,,,
