Protokoll_Display,100,1000,10000,100000,1000000,10000000
coap,2.00,2.00,21.00,197.00,1955.00,19533.00
http,15.00,15.00,16.00,25.33,66.00,282.00
mqtt_qos0,7.00,7.67,8.67,17.67,45.33,202.33
mqtt_qos1,7.00,7.00,8.00,15.67,37.00,198.00
mqtt_qos2,8.00,8.33,9.00,16.33,38.00,175.67
tcp,6.00,6.00,7.00,14.67,57.33,681.33
udp,1.00,1.00,7.00,,,
